MACHINE_TYPE,OPERATION,NORMALIZED_MILESTONE,NOTIFICATION_NUMBER,NOTIFICATION_DESCRIPTION,CAUSE_TEXT,BREAKDOWN_DURATION_MIN,Air_Issue_number,Air_Issue_Summary,Air_Issue_Status,ME_FUNCTIONAL_CLUSTER,B_CODE,Issue_Functional_cluster,Issue_Owner,Initiator,Solver,Leading_issue,Issue_Ownership_FC,FC_Match,Combined_FC,Artificial_Issue_Owner,Final_FC_score,Final_FC_topk,Artificial_Issue_Owner_Confidence,Order_number,Order_type,Variable_1_desc,Variable_3_desc,CC_Variable_1_desc_active,Equipment_affected_description,Bucketing_App_Owner,Order_number_norm,Functional_Cluster_Final_Owner,Final_Owner_Tier,BREAKDOWN_DURATION_HRS
NXT1980FI,M269941_T_CH1,MS03-06,210920175,SASO Coarse - Failed - SA-0255,OADB NOK,1029.316667,,,,005,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-005,MOID,17.155277777777833
NXT1980FI,M2913736_T,MS,211120627,SPC LUPI/LUAZ - OOC - multiple values,Faulty FRM+DMBF,771.9333333,,,,032,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,211120627,Disturbance notif.,FC-010 IL,5. Incident,FC-010 IL,NXT4:1980FI,FC-010,211120627,FC-010,Bucketing_App_Owner,12.86555555555555
NXT1980FI,M293582_T,MS02B,211181363,Init Imaging Drivers - Failed - CF-0414,Unknown,204.1166667,,,,010,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,211181363,Disturbance notif.,FC-010 IL,5. Incident,FC-010 IL,NXT4:1980FI,FC-010,211181363,FC-010,Bucketing_App_Owner,3.401944444
NXT1980FI,M615532_T,MS03-06,210938573,CHECK SW CONFIG AND DESIGN MCS - RM MCs,DN not needed,0,P744281,B3 - TF FAB NXT EXE Work Center SP Workmanship issues '24,Open,024,B3 - Logging redundant or unnecessary,,ppreez,mbourzgu,,,FC-028 Lot - Production Control; IC-004 Overlay Performance; IC-005 Productivity,FALSE,FC-028 Lot - Production Control; IC-004 Overlay Performance; IC-005 Productivity,IC-005,0.015197711444652135,IC-005:0.015; FC-028:0.012,Low,210938573,Disturbance notif.,FC-024 CS,7. Structural - added to AIR,FC-024 CS,NXT4:1980FI,FC-024,210938573,FC-024,Bucketing_App_Owner,0
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,211040302,Missing material 4022.658.23512,Unknown,0,,,,IC16,B1 - Material Availability,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,0
NXT1980FI,M15814428_T,MS03-06,211091585,IMTS - Failed -  PG-6207,Software hiccup,273.7833333,,,,031,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,211091585,Disturbance notif.,FC-031 SP/IF/PC,5. Incident,FC-031 SP/IF/PC,NXT4:1980FI,FC-031,211091585,FC-031,Bucketing_App_Owner,4.563055556
NXT1980FI,M270912_21756014_T_CH1,MS,210872152,SAFS.06 - OOS - col2col WaferMarks only,"Multiple colors, SUM/DIF NOK",2937.35,P761084,"Multiple colors, SUM/DIF NOK",Open,005,B2 - Materials quality/ Upstream quality,,bherrema,bherrema,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-005,MOID,48.95583333333333
NXT1980FI,M281066_T,MS02B,210811381,CtPuMfcXcdaMe - value NOK,XCDA unit 1 was closed,87.61666667,,,,014,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-014,MOID,1.4602777777777785
NXT1980FI,M298080_T,MS,210930379,ODDP - OOS - Dose Accuracy,ODDP OOS Dose accuracy,168.85,P683006,Workmanship TS: Issue induced by action plan / wrong action plan,Open,009,B8 - Design (HW/SW),,dvanheme,dvanheme,,,FC-009 Dose Control; FC-010 Illumination; FC-011 Reticle Masking,FALSE,FC-009 Dose Control; FC-010 Illumination; FC-011 Reticle Masking,FC-009,0.3119833337905554,FC-009:0.312; FC-010:0.069; FC-011:0.059,High,,,,,,,,,FC-009,Artificial_Issue_Owner,2.8141666666666665
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,210882913,Missing operator for hours,Help request,0,P756702,B3 - No manpower / Team meeting - NXT Prepack 2024,Open,IC16,B3 - No manpower,,mthijss2,mthijss2,,,IC-016 Sequence integration; None No functions,FALSE,IC-016 Sequence integration; None No functions,IC-016,0.033647312,IC-016:0.034,Low,,,,,,,,,IC-016,Artificial_Issue_Owner,0
NXT1980FI,M615532_T,MS,210856539,Deviating design constants found in Test,ACC not visible in CT ADT,0,,,,024,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,210856539,Disturbance notif.,FC-057 CT,2. Follow-up needed,FC-057 CT,NXT4:1980FI,FC-057,210856539,FC-057,Bucketing_App_Owner,0
NXT1980FI,M15814428_T,MS03-06,210982534,IMTS - Failed - PG-6209,error during test,322.4333333,,,,031,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,210982534,Disturbance notif.,FC-031 SP/IF/PC,5. Incident,FC-031 SP/IF/PC,NXT4:1980FI,FC-031,210982534,FC-031,Bucketing_App_Owner,5.373888888888883
NXT1980FI,M327432_T,MS03-06,210985465,PWPE MA/MSD X NOK,PWPE RS OOS on MAx,905.1666667,,,,004,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,210985465,Disturbance notif.,FC-004 RS,6. Incident - Solved,FC-004 RS,NXT4:1980FI,FC-004,210985465,FC-004,Bucketing_App_Owner,15.086111111111116
NXT1980FI,M15814428_T,MS03-06,210885151,IMTS - Failed - PG-6209,CT NOK MF temp not stable,126.5833333,P797085,Temperature stability indicator display for IMTS,Open,031,B8 - Design (HW/SW),FC-031,rmeeuwis,trchrist,ekucukog,,FC-031 Stage Position Measurement; FC-032 System Dynamics,TRUE,FC-031 | FC-031 Stage Position Measurement; FC-032 System Dynamics,,,,,210885151,Disturbance notif.,FC-031 SP/IF/PC,6. Incident - Solved,FC-031 SP/IF/PC,NXT4:1980FI,FC-031,210885151,FC-031,Official_AIR,2.1097222222222167
NXT1980FI,M16189585_T,MS11,210863055,EGTPEX - NOK - repro y Chuck 2,Mx actions triggered,744.65,P735874,rfTIS (EGTPEX) repro Y NOK for 1980Fi: spec too tight,Open,064,B8 - Design (HW/SW),,ijovanci,jellvrie,letwang,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-064,MOID,12.410833333333333
NXT1980FI,M294562_T,MS,211150877,LUMS - OOC - SPC check,FRM related,1446.433333,,,,009,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,211150877,Disturbance notif.,FC-010 IL,5. Incident,FC-010 IL,NXT4:1980FI,FC-010,211150877,FC-010,Bucketing_App_Owner,24.107222222222166
NXT1980FI,M281066_T,MS02B,211115698,TCNTDT - OOS - CtLnsGPres,n2 press t low,320.4666667,P480555,B5 - [Data Gathering] - B5 Facility Issues at TF,Aborted,014,B5 - Facility,,robibakk,ybosmans,,,,FALSE,,,,,NoEvidence,211115698,Disturbance notif.,FC-057 CT,7. Structural - added to AIR,FC-057 CT,NXT4:1980FI,FC-057,211115698,FC-057,Bucketing_App_Owner,5.3411111111111165
NXT1980FI,M5269324_T,MS03-06,211139161,ZLFP  - OOC - DAM Delay,DAM Delay calculation,0,P757381,"Measured average delay invalid with default DAM trigger delay MC, change to non-design constant.",Aborted,007,B8 - Design (HW/SW),FC-007,jizhao,robiburg,,P672412,FC-007 Level sensor,TRUE,FC-007 | FC-007 Level sensor,,,,,211139161,Disturbance notif.,FC-007 LS/AG,7. Structural - added to AIR,FC-007 LS/AG,NXT4:1980FI,FC-007,211139161,FC-007,Official_AIR,0
NXT1980FI,M14958293_T,MS02B,210755788,start up drivers - Failed -  MG-4A03,multiples error logging,31.71666667,,,,IC16,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,0.5286111111111117
NXT1980FI,M615532_T,MS,211089133,Roughness puck check,Puck check design NOK,38.18333333,,,,024,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,211089133,Disturbance notif.,FC-050 WTC,,FC-050 WTC,NXT4:1980FI,FC-050,211089133,FC-050,Bucketing_App_Owner,0.6363888888888883
NXT1980FI,M7552976_T,MS,211104721,DYSENT - OOS - X2X-50Hz Frequency Depend,OOS for X2X-> false NOK AIR,382.55,P791006,DYSENT False NOK on Frequency Dependent Sensitivity Improvement Verification,Open,032,B8 - Design (HW/SW),FC-032,trchrist,trchrist,,,FC-031 Stage Position Measurement; FC-032 System Dynamics,TRUE,FC-032 | FC-031 Stage Position Measurement; FC-032 System Dynamics,,,,,211104721,Disturbance notif.,FC-032 AM/DY,7. Structural - added to AIR,FC-032 AM/DY,TWINSCAN NXT:1980FI,FC-032,211104721,FC-032,Official_AIR,6.3758333333333335
NXT1980FI,M36800099_T,MS,211043154,ODTS - Failed - OD-5100,IH GAP,443.55,P792645,ODTS fails on IH-121E IH2SS_WSL gap too small,Open,009,B8 - Design (HW/SW),FC-015,pboterma,peijnde,,P462049,FC-015 Immersion,TRUE,FC-015 | FC-015 Immersion,,,,,,,,,,,,,FC-015,Official_AIR,7.3925
NXT1980FI,M16192231_T,MS12-13,210925230,Non Default MCs on machine,MCs were changed for TS on DN 210916701,1070.35,,,,024,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,210925230,Disturbance notif.,FC-010 IL,5. Incident,FC-010 IL,NXT4:1980FI,FC-010,210925230,FC-010,Bucketing_App_Owner,17.839166666666664
NXT1980FI,M1930810_T,MS02B,210793201,HLPT - OOS - CtPuPresXcda2dm,Purging not started,70.65,,,,012,B3 - Skills / training needed,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-012,MOID,1.1775
NXT1980FI,M17006930_T,MS14A,210915724,Startup Drivers - Failed - Multiple driv,WI unable to init,298.0333333,,,,024,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,210915724,Disturbance notif.,FC-057 CT,3. Align in GH,FC-057 CT,NXT4:1980FI,FC-057,210915724,FC-057,Bucketing_App_Owner,4.967222222222217
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,211071506,Semi fixed   ( routine),operator went to routine.,163.25,P804092,B3 - No manpower - Semi Fixed NXT Prepack 2024,Open,IC16,B3 - No manpower,,micwille,mthijss2,,,IC-016 Sequence integration; None No functions,FALSE,IC-016 Sequence integration; None No functions,IC-016,0.020840409862841587,IC-016:0.021,Low,,,,,,,,,IC-016,Artificial_Issue_Owner,2.720833333333333
NXT1980FI,M33003714_T,MS02B,211181620,Green Laser in LMA not fastened,Assembly not followed completely,0,P646655,[4CLMA] B3 - Workmanship errors ,Open,057,B2 - Materials quality/ Upstream quality,FC-005,avught,mbraam,,,FC-005 Alignment sensor,TRUE,FC-005 | FC-005 Alignment sensor,,,,,211181620,Disturbance notif.,FC-005 AL/WA,7. Structural - added to AIR,FC-005 AL/WA,NXT4:1980FI,FC-005,211181620,FC-005,Official_AIR,0
NXT1980FI,M272823_T,MS03-06,211032343,CVMA_Flexray task dies unexpectedly,MMEB hose quickconnect loose,41.35,,,,024,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,211032343,Disturbance notif.,FC-057 CT,5. Incident,FC-057 CT,NXT4:1980FI,FC-057,211032343,FC-057,Bucketing_App_Owner,0.6891666666666667
NXT1980FI,M3973576_T,MS03-06,210858734,HIPF - Failed - IH-02C1,WI_WVCC_WV_WRP1_Pres x25 not connected,474.2833333,,,,015,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-015,MOID,7.904722222222217
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,211054264,Fixed group ( team meeting),example,1.25,P756702,B3 - No manpower / Team meeting - NXT Prepack 2024,Open,IC16,B3 - No manpower,,mthijss2,mthijss2,,,IC-016 Sequence integration; None No functions,FALSE,IC-016 Sequence integration; None No functions,IC-016,0.022033313601178384,IC-016:0.022,Low,,,,,,,,,IC-016,Artificial_Issue_Owner,0.020833333333333332
NXT1980FI,M302062_T,MS02B,211111860,HIAP - Failed - WI-C309,HIAP failed,162.2666667,,,,015,B0 - Undefined,,,,,,,FALSE,,,,,NoEvidence,211111860,Disturbance notif.,FC-015 IH,5. Incident,FC-015 IH,NXT4:1980FI,FC-015,211111860,FC-015,Bucketing_App_Owner,2.7044444444444498
NXT1980FI,M17505694_T,MS02B,211172389,HWWZ - Failed - CV-2355,bad handling,1053.916667,,,,001,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-001,MOID,17.565277777777833
NXT1980FI,M6320943_T,MS02B,211069650,XCWC damaged panel,side panel XCWC damaged,69.38333333,,,,IC16,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,1.1563888888888882
NXT1980FI,M301593_T,MS,210971219,HIHM2 - OOS - MS offset ver. s/u on Rx,Unclear,509.3166667,,,,015,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,210971219,Disturbance notif.,FC-015 IH,5. Incident,FC-015 IH,NXT4:1980FI,FC-015,210971219,FC-015,Bucketing_App_Owner,8.488611111111117
NXT1980FI,NON EXECUTION- DN CREATION STEP-5L,MS14C,210779262,Missing tyraps,unknown,219.1833333,,,,IC16,B1 - Material Availability,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,3.6530555555555497
NXT1980FI,M16192231_T,MS12-13,210766221,Waiting for results - Big Bubble,Waiting for Big Bubble results,213.8333333,,,,024,B9 - Process Lab,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-024,MOID,3.5638888888888833
NXT1980FI,M300722_T,MS,211032523,SZDR - OOS - Camera Position,Known LSUv2 reticle issue,91.18333333,P592959,The first run of SZDR in the sequence being NOK on camera grating position when using the LSUv2 reticle,Open,008,B8 - Design (HW/SW),,vpavelye,pavernoo,rstaal,,,FALSE,,,,,NoEvidence,211032523,Disturbance notif.,FC-008 ZK,7. Structural - added to AIR,FC-008 ZK,NXT4:1980FI,FC-008,211032523,FC-008,Bucketing_App_Owner,1.5197222222222215
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,211147139,just with 1 senior and 3 opp,just with 1 senior and 3 opp,129.2833333,P756702,B3 - No manpower / Team meeting - NXT Prepack 2024,Open,IC16,B3 - No manpower,,mthijss2,mthijss2,,,IC-016 Sequence integration; None No functions,FALSE,IC-016 Sequence integration; None No functions,IC-016,0.019524868377000848,IC-016:0.020,Low,,,,,,,,,IC-016,Artificial_Issue_Owner,2.1547222222222167
NXT1980FI,M14958293_T,MS02B,211196007,Start up drivers - Failed -  ZH-2203,fiber connected wrong slot,262.3,P573277,[Collecting Data] TWINSCAN Software Hiccup / Init drivers solves DN/SO. Cause unknown.,Open,IC16,B2 - Materials quality/ Upstream quality,,weiss,weiss,,,,FALSE,,,,,NoEvidence,211196007,Disturbance notif.,IC-016 SQ,7. Structural - added to AIR,IC-016 SQ,NXT4:1980FI,IC-016,211196007,IC-016,Bucketing_App_Owner,4.371666666666667
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,210984422,Succes Celebration,Succes Celebration,0,P756702,B3 - No manpower / Team meeting - NXT Prepack 2024,Open,IC16,B3 - No manpower,,mthijss2,mthijss2,,,IC-016 Sequence integration; None No functions,FALSE,IC-016 Sequence integration; None No functions,IC-016,0.022033313601178384,IC-016:0.022,Low,,,,,,,,,IC-016,Artificial_Issue_Owner,0
NXT1980FI,M293582_T,MS02B,210996628,Init UL drivers - Failed - MG-2E00,SW issue with the AGMB and AGHB MK2,2764.183333,,,,010,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,210996628,Disturbance notif.,FC-012 PR/IC,,FC-012 PR/IC,NXT4:1980FI,FC-012,210996628,FC-012,Bucketing_App_Owner,46.06972222222217
NXT1980FI,M3149947_T,MS03-06,211160635,PWWT - OOS - rxrxCM + ryryCM,PWWT spec NOK,0,P739503,WS mk4/5.x: PWWT/NIMA CM/SI go OOS on PMQT/TR/TEST (collection of cases for later spec update),Open,003,B8 - Design (HW/SW),,skappel,ivrodrig,mheerebe,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-003,MOID,0
NXT1980FI,M24292148_T,MS02B,211107789,RH INIT  - Failed - RS-0002,RS in REAL,59,,,,002,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-002,MOID,0.9833333333333333
NXT1980FI,M5888154_T,MS02B,211013802,WS init - Failed - WP-2C1D,WS init - Failed - WP-2C1D,29.28333333,,,,003,B3 - Logging redundant or unnecessary,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-003,MOID,0.48805555555555497
NXT1980FI,M3149947_T,MS03-06,210977965,No capa available to occupy system,no capa due to holiday,0,,,,003,B3 - No manpower,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-003,MOID,0
NXT1980FI,M301641_T,MS03-06,210846079,Init Drivers - Failed - WI-C30A,Hiccup in communication,198.2333333,,,,015,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-015,MOID,3.3038888888888835
NXT1980FI,M17413016_T,MS02B,210974946,WH MCs - Failed - DA-0009,MC could not load,0,,,,001,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-001,MOID,0
NXT1980FI,M3151397_T,MS03-06,211103446,PWPV - OOS - Standstill,PWPV NOK,50.21666667,P788324,PWPV out of limits during MS0306 while PWPS was adjusted in spec before,Open,003,B8 - Design (HW/SW),FC-003,skappel,jleefsma,thoeven,,,FALSE,FC-003,,,,,,,,,,,,,FC-003,Official_AIR,0.8369444444444449
NXT1980FI,M3148134_T,MS02B,210794741,REMA O - Service lens,Service Rema obj was sent to new machine,1115.616667,,,,003,B1 - Material Availability,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-003,MOID,18.593611111111166
NXT1980FI,M16856394_16955651_T,MS10,210809254,NSME on machine - SAWA tests,Needed trace from vhv for field,124.85,,,,065,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-065,MOID,2.080833333333333
NXT1980FI,M16247804_T,MS,211000687,DRY PWP 40 CYCLES RESULTS,wait for results,0,,,,IC03,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-003,MOID,0
NXT1980FI,M27600952_T,MS02B,211174962,script  came up with error 09,BOM NOK during script,54.53333333,,,,003,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-003,MOID,0.9088888888888884
NXT1980FI,M24844175_T,MS03-06,210904181,Rema swap: MK4 to MK5,REMA MK5 not available (supply shortage),402.7,P701074,B1 - [Data Gathering] - Work Center SP Material Availability DN/MN,Open,031,B1 - Material Availability,,robibakk,robibakk,,,,FALSE,,,,,NoEvidence,210904181,Disturbance notif.,FC-031 SP/IF/PC,7. Structural - added to AIR,FC-031 SP/IF/PC,NXT4:1980FI,FC-031,210904181,FC-031,Bucketing_App_Owner,6.711666666666667
NXT1980FI,M16247804_T,MS,211029510,ETMLGN - Failed - IH-121E/WI-C30A,WVACI drain pump is NOK,2006.15,P680653,24V TWIN VACUUM PUMP ASSY is not able to empty the WVACI tank,Open,IC03,B2 - Materials quality/ Upstream quality,FC-057,kbecelae,marpas,ropeter1,,FC-014 Thermal architecture; FC-057 EC&I Infrastructure,TRUE,FC-057 | FC-014 Thermal architecture; FC-057 EC&I Infrastructure,,,,,,,,,,,,,FC-057,Official_AIR,33.435833333333335
NXT1980FI,M300722_T,MS,210845912,Damaged / contaminated GF filters,Scratches on the A and B GF's,46.11666667,,,,008,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-008,MOID,0.7686111111111117
NXT1980FI,M25275314_34985139_T_CH2,MS,210998628,SAWA - OOS - RED OOS on SA,"Unclear, no issue experienced on redo",62.11666667,,,,005,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,210998628,Disturbance notif.,FC-005 AL/WA,6. Incident - Solved,FC-005 AL/WA,NXT4:1980FI,FC-005,210998628,FC-005,Bucketing_App_Owner,1.0352777777777784
NXT1980FI,M14958293_T,MS02B,211034638,Laser gas pressure too high,Spike in laser gas from facility,614.1666667,P480555,B5 - [Data Gathering] - B5 Facility Issues at TF,Aborted,IC16,B5 - Facility,,robibakk,ybosmans,,,,FALSE,,,,,NoEvidence,211034638,Disturbance notif.,IC-016 SQ,7. Structural - added to AIR,IC-016 SQ,NXT4:1980FI,IC-016,211034638,IC-016,Bucketing_App_Owner,10.236111111111116
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,211075632,Low capa (-2h),1 missing operator,165.6333333,P756702,B3 - No manpower / Team meeting - NXT Prepack 2024,Open,IC16,B3 - No manpower,,mthijss2,mthijss2,,,IC-016 Sequence integration; None No functions,FALSE,IC-016 Sequence integration; None No functions,IC-016,0.027664605,IC-016:0.028,Low,,,,,,,,,IC-016,Artificial_Issue_Owner,2.760555556
NXT1980FI,M308967_T,MS,211012172,Init Drivers - Failed - CN-0001,communication issue,119.0333333,P672983,DN solved by powercycle/ software reset (NXT),Aborted,065,B8 - Design (HW/SW),FC-057,jvanbrie,thvander,,,FC-014 Thermal architecture; FC-057 EC&I Infrastructure,TRUE,FC-057 | FC-014 Thermal architecture; FC-057 EC&I Infrastructure,,,,,211012172,Disturbance notif.,FC-025 MC,7. Structural - added to AIR,FC-025 MC,NXT4:1980FI,FC-025,211012172,FC-057,Official_AIR,1.9838888888888835
NXT1980FI,M269941_T_CH1,MS03-06,210897817,SASO - Failed - PG-6206,X8 connectivity,3266,P778177,XLD: Intemediate HITC/HITD failures due to WT flex cap connectivity,Closed,005,B8 - Design (HW/SW),,wstrohfe,wstrohfe,,,FC-003 Wafer Positioning; FC-048 Wafer clamping; FC-050 Wafer table cleaning,FALSE,FC-003 Wafer Positioning; FC-048 Wafer clamping; FC-050 Wafer table cleaning,FC-003,0.21197359691605266,FC-003:0.212; FC-048:0.164,High,210897817,Disturbance notif.,FC-003 WS,1. New,FC-003 WS,NXT4:1980FI,FC-003,210897817,FC-003,Bucketing_App_Owner,54.43333333333333
NXT1980FI,M269941_T_CH1,MS03-06,210897817,SASO - Failed - PG-6206,X8 connectivity,3266,P778156,WT BES HEATER TEMP sensor Connectivity Problem,Open,005,B8 - Design (HW/SW),FC-003,kbroodry,ivrodrig,,,FC-003 Wafer Positioning; FC-048 Wafer clamping; FC-050 Wafer table cleaning,TRUE,FC-003 | FC-003 Wafer Positioning; FC-048 Wafer clamping; FC-050 Wafer table cleaning,,,,,210897817,Disturbance notif.,FC-003 WS,1. New,FC-003 WS,NXT4:1980FI,FC-003,210897817,FC-003,Official_AIR,54.43333333333333
NXT1980FI,M269941_T_CH1,MS03-06,210897817,SASO - Failed - PG-6206,X8 connectivity,3266,P767203,SASO failed due to X8 connectivity on MK5I CB CONNECT C1 PCA - B3 during actionplan on system,Open,005,B8 - Design (HW/SW),FC-003,rhoevena,bherrema,,,,FALSE,FC-003,,,,,210897817,Disturbance notif.,FC-003 WS,1. New,FC-003 WS,NXT4:1980FI,FC-003,210897817,FC-003,Official_AIR,54.43333333333333
NXT1980FI,M320180_T,MS02B,210835600,WELLE connections NOK,IM TAPA4 RP PCA on rear of IMCR S22 bent,256.6333333,,,,012,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-012,MOID,4.277222222222217
NXT1980FI,M294562_T,MS,211146528,ODIF - OOS - FIS ref,Spherical mirrors not seated correctly,1063.566667,P766580,B3 at FN-LA,Open,009,B2 - Materials quality/ Upstream quality,,gmarques,peijnde,,,FC-009 Dose Control; FC-010 Illumination; FC-011 Reticle Masking,FALSE,FC-009 Dose Control; FC-010 Illumination; FC-011 Reticle Masking,FC-010,0.1694809598817063,FC-010:0.169; FC-009:0.124; FC-011:0.049,High,,,,,,,,,FC-010,Artificial_Issue_Owner,17.726111111111166
NXT1980FI,M36800099_T,MS,211032258,ODTS.02 - Failed - OD-5100,Software hiccup,829.85,P792645,ODTS fails on IH-121E IH2SS_WSL gap too small,Open,009,B8 - Design (HW/SW),FC-015,pboterma,peijnde,,P462049,FC-015 Immersion,TRUE,FC-015 | FC-015 Immersion,,,,,,,,,,,,,FC-015,Official_AIR,13.830833333333334
NXT1980FI,M25740851_T,MS12-13,210766999,"Sequence blocked, PI needed",S/N in Greylist was blocking the seq.,561.6333333,,,,IC16,B7 - Sequence issue,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,9.360555556
NXT1980FI,M30463950_T,MS,211138339,Startup Driver - Failed  WP-0600/WP-2300,WVAC valve still closed,511.3666667,P573277,[Collecting Data] TWINSCAN Software Hiccup / Init drivers solves DN/SO. Cause unknown.,Open,IC16,B3 - Procedure / process is not followed,,weiss,weiss,,,,FALSE,,,,,NoEvidence,211138339,Disturbance notif.,IC-016 SQ,7. Structural - added to AIR,IC-016 SQ,NXT4:1980FI,IC-016,211138339,IC-016,Bucketing_App_Owner,8.522777777777783
NXT1980FI,M16189585_T,MS11,211038653,EGTPEX - Failed - UL-A407,hickup,162.75,,,,064,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,211038653,Disturbance notif.,FC-010 IL,,FC-010 IL,NXT4:1980FI,FC-010,211038653,FC-010,Bucketing_App_Owner,2.7125
NXT1980FI,M21515514_35129990_T,MS11,210583097,EQSSDC - OOS - Model Convergence Delta,needed 2 runs ( with update MC's ),118.1166667,,,,063,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-063,MOID,1.9686111111111166
NXT1980FI,M271767_T,MS14A,210923657,Damaged Lower Body Panel - Elec side,Panel has been scratched,0,P744281,B3 - TF FAB NXT EXE Work Center SP Workmanship issues '24,Open,024,B3 - Material damaged contaminated lost,,ppreez,mbourzgu,,,FC-028 Lot - Production Control; IC-004 Overlay Performance; IC-005 Productivity,FALSE,FC-028 Lot - Production Control; IC-004 Overlay Performance; IC-005 Productivity,IC-005,0.005020007,IC-005:0.005; FC-028:0.003,Low,,,,,,,,,IC-005,Artificial_Issue_Owner,0
NXT1980FI,M8359680_T_V2,MS10,210902455,ENLA - Failed - EN-0406,IH-02D1 error code not showing up,31.13333333,P744281,B3 - TF FAB NXT EXE Work Center SP Workmanship issues '24,Open,031,B3 - Logging redundant or unnecessary,,ppreez,mbourzgu,,,FC-028 Lot - Production Control; IC-004 Overlay Performance; IC-005 Productivity,FALSE,FC-028 Lot - Production Control; IC-004 Overlay Performance; IC-005 Productivity,FC-028,0.083365132,FC-028:0.083; IC-005:0.005,Low,210902455,Disturbance notif.,FC-031 SP/IF/PC,7. Structural - added to AIR,FC-031 SP/IF/PC,NXT4:1980FI,FC-031,210902455,FC-031,Bucketing_App_Owner,0.5188888888888884
NXT1980FI,M320188_T,MS03-06,211010333,PIZP.01 - OOS - Scanning MSD for NEXZ1,PIZP OOS by design,522.1666667,P749407,PIZP intermittently OOS for the MSD during the up and downward scanning for Rx for the NEXZ 1 element.,Open,012,B8 - Design (HW/SW),FC-012,sgeijn,timberg,pkalyan1,,FC-009 Dose Control; FC-012 Projection; FC-015 Immersion; FC-038 Optical Column conditioning,TRUE,FC-012 | FC-009 Dose Control; FC-012 Projection; FC-015 Immersion; FC-038 Optical Column conditioning,,,,,211010333,Disturbance notif.,FC-012 PR/IC,7. Structural - added to AIR,FC-012 PR/IC,NXT4:1980FI,FC-012,211010333,FC-012,Official_AIR,8.702777777777783
